review,target
"The movie was a big Car Commercial. :-)<br /><br />But who cares? I went to the theater to view the Shelby Cobra, Angelina & Cage.<br /><br />So I guess it was a good movie. *bg*<br /><br />",positive
"If you're one of those who recognise with pleasure such arcane titles as 'Book of the Dead', 'Book of Eibon' or 'Necronomicon', then you should feel right at home with Malefique, a film which also features an occult tome, one with the power to change the destinies of all involved. Discovered by four French prisoners sharing a cell, the fearsome object has been placed in the wall there by Danvers, a serial killer incarcerated back in the 1920s; a man obsessed with rejuvenation and the black arts before he abruptly vanished. Finders of the book are Carrère (Gérald Laroche) a company embezzler shopped by his wife, Lassalle (Philippe Laudenbach) who aspires to be a woman but at the same time body-builds to execute an escape plan, the halfwit Pâquerette (Dimitri Rataud) who once ate his baby sister, and the 'librarian' Marcus (Clovis Cornillac), supposedly driven mad by reading, who murdered his wife. Reminding the viewer of Meat Loaf's equally bizarre, bosomy male in Fight Club (1999), Lassalle begins as the dominant member of the quartet, one who is especially protective of the infantile Pâquerette. With the coming of the book however, and the overarching need to decipher its dangerous contents, Marcus assumes greater and greater significance. At first assured of an early bail, meanwhile Carrère takes little more than academic interest in events. Suddenly he too needs an urgent escape option and, as the prisoners experiment, Danvers' book starts to reveal some of its terrifying powers...<br /><br />Staged for the most part within a prison cell, and between four or five characters, Malefique has a claustrophobic air entirely suited to its subject matter (as well as the limited budget of the filmmakers). Only at the start and then at the conclusion do we get to leave the confines of the cell, a necessary opening out which only serves to emphasise the doomed, closed-in nature of proceedings elsewhere. More than anything, this is a film about being trapped, either as a victim of your criminal past or of occult events now unfolding. ""I'm going to escape,"" says Carrère at the start of the film, wishing more than anything to be able to rejoin his wife and son. Whether or not he does it will be at a terrible price, and the great irony of the film is that the ultimate form of an 'escape' may not be one a man might imagine.<br /><br />With all its budget limitations it is greatly to the first-time feature director Eric Vallette's credit that his film succeeds as well as it does. As critics have noticed, it is a film with strong Freudian overtones - Lassalle's distinctive mammaries and adult breast feeding for instance; the picture of a vagina which comes to life and develops an eye; the grown man who dissolves back into a foetus; Danvers' original placenta fetish; the dark cell as a primitive womb from which 'delivery' is awaited, etc. With so many interesting aspects to the script Vallette hardly puts a foot wrong, and he succeeds in creating a genuinely unsettling atmosphere out of what, when one comes down to it, is just a matter of four guys, four bunks, one folding table and a book. There's a genuine, growing, Lovecraftian frisson as the men summon up the unnameable darkness from within its pages, while one or two moments - the aforementioned blinking vagina, or what ultimately happens to Pâquerette - are unsettlingly memorable. The pacing of many of the dark events in Malefique is deliberate, rejecting the rapid cutting of many Hollywood productions: a video culture approach that often subverts the horrified gaze in favour of quick-fix action and gore. Perhaps this is a particularly European manner, as one recalls a similar, measured approach to shocking hallucination taken in such films as Verhoeven's The Fourth Man (1983) - a film that incidentally also shares a particularly nasty image based around a prolapsed eye.<br /><br />Lensed well in 1.85:1, Malefique benefits from excellent performances and, if for this viewer at least, the conclusion was not as explainable as it might have been, the journey to the final shot was worth taking. Coming so soon after the release of the similarly well-received Haute Tension (aka: Switchblade Romance, 2003), this is another reason to be grateful that good horror films are once again emerging from the French industry, this after a time when it seemed the only worthwhile product came from Asia",positive
"In 4 words, Captain Corelli's Mandolin was ""completely out of tune"" with the book. The novel provided sufficient character background to understand the relationships and personal challenges the characters needed to overcome; the script writer chose to ignore the details. In ignoring them (e.g. the priest's role initially as a buffoon, but later as a spiritual leader, the fiancee's inability to read until taught by a socialist rebel, the bomb experts advice to Corelli and his eventual ironic demise), the story and characters fall flat.<br /><br />This was the first movie that I've ever walked out of midway through. Interesting cinematography, great actors do not MAKE a film; the story does.",negative
"In late 1800s San Francisco, poor well-dressed Errol Flynn (as James J. Corbett) works at a bank, and enjoys attending local ""fights"" (boxing) with co-worker and drinking buddy Jack Carson (as Walter Lowrie). One day, pretty Alexis Smith (as Victoria Ware) walks into the ""Comstock Bank"", where Mr. Flynn works. Flynn is so taken with Ms. Smith's elegant beauty, he offers to carry her withdrawal purse. Smith is secretly taken with the handsome Flynn, but is put off by his brashness.<br /><br />Flynn's good deed (actually, pick-up attempt) gets him a complimentary membership in the snooty ""Olympic Club"", which conveniently includes a gymnasium (with boxing equipment). However, Flynn's presumptuous manner, and practical joking (he tickles men on the parallel bars) irritates ""Club"" members. When an English boxing champ visits the club, members endeavor to get Flynn to fight the man. They are hopeful Flynn will resign, humiliated by his defeat - but, Flynn wins! <br /><br />First time producer Robert Buckner puts together a nice package for Warner Brothers, and director Raoul Walsh. Mr. Buckner was, certainly, basking in the success of his contribution (screenplay) to the studio's brilliant ""Yankee Doodle Dandy"". Unfortunately, this story is positively ludicrous. There was a ""Gentleman Jim"" - this story is supposedly the filming of the real James J. Corbett's autobiography ""The Roar of the Crowd"" - but, this movie must be significantly fictionalized.<br /><br />Flynn is a very appealing leading man; he maneuvers the script lightly, and should have been recognized, by the early 1940s, as an excellent actor. Many of Flynn's characterizations were (are?) overlooked as great performances, and this is one of them. Smith does well as his feminine interest, deftly transmitting her emotions for the viewer. Director Walsh makes the silliness look smooth and extravagant. The supporting cast is a treasure trove, from boisterous Alan Hale (as Pat Corbett) to walk-on Lon McCallister (""Paging Mr. Corbett"").<br /><br />******** Gentleman Jim (1942) Raoul Walsh ~ Errol Flynn, Alexis Smith, Alan Hale",positive
"This is one of the finest TV movies you could ever see. The acting, writing and production values are top-notch. The performances are passionate with Beverly D'Angelo superb as the older woman with a teenage daughter and Rob Estes simply perfect as the young stud boyfriend. However, the best part of this film was how it showed the consequences of sexual abuse instead of going for the usual happy ending. It showed that abuse can happen in good families; involve good people; and wreck lives. It is thought provoking and entertaining. Congratulations to all concerned with this exceptional movie.<br /><br />",positive
"I couldn't believe some of the horrible dialog coming out of people's mouths, and the end reel of bloopers attached to body of the film was a real hoot. And we get titty shots of Angelique Pettyjohn (sort of) and Loren Crabtree to boot.<br /><br />A teleportation device activated by psychic Angelique Pettyjohn brings an alien container to an underground lab out in the desert. According to director Fred Olen Ray, they were leftover sets from the Klaus Kinski film, ANDROID which gives the film an increased value beyond how cheap it looks.<br /><br />Inside the container is a midget alien (played by Ray's son) who starts clawing people to death. It was pretty funny watching this little 'creature' in a black reptile suit with what looks like large beetle shells attached to it, running around in the dark. We even get to see the little thing stamp and tear at a poster of ET, which I thought was hilarious.<br /><br />And then there's what looks like a snake that also comes out of the container that gets hammered to death by William Fair, after the mini creature chews into Frank McDonald's neck in the kitchen. A low budget take on ALIEN, I suppose...<br /><br />The whole thing ends abruptly, looking like they ran out of film at the end before the blooper reel comes in with the end credits. Talk about a lack of funding...<br /><br />Fred Olen Ray also mentions in the director's commentary that they also weren't sure if Aldo Ray would make through the shooting and remember his lines. He barely did.<br /><br />Low budget cheese sneeze. It's fun to watch, I'll grant ya that. <br /><br />4 out of 10",negative
"This is a good example of how NOT to make a film.<br /><br />There is very little meaningful dialog, no context for the events, and constant cuts between seemingly unrelated scenes. The result is a confused, clueless viewer; the plot is absolutely impossible to follow and the ideas presented are meaningless without listening to the director's commentary.<br /><br />This movie has a lot to do with human atrocity and tries to show how wrong it is, with an emphasis on child abuse. It includes some stock footage of real, horrible acts of violence, including war time executions. Although it works in the context of the movie, I feel that the ideas behind the movie could have been presented without resorting to such extreme content. This film is absolutely NOT for the weak stomached or the easily offended, and should not under any circumstances be shown to minors.<br /><br />The climax is anti-climactic compared to the content of the rest of the movie. If you're not listening to the commentary while it happens you will probably miss it.<br /><br />The director's commentary was a one-shot, ""sit the guy down and let him talk, no cuts"" type of commentary. While this isn't necessarily bad, the director ends up rambling a lot and often spends minutes at a time complaining about his college, filming conditions, co producers, bad film, and a dozen other things. The constant negativity detracts from what otherwise is an essential tool for understanding the movie.<br /><br />The movie was shot many years ago on 16mm and Super8 film over a period of four years on an extremely low budget. Because of this, the video and audio quality is poor. That alone does not make it a bad movie, but it does make a bad movie worse.",negative
"I could watch this movie ALL DAY! I LOVE it. Probably my all time favorite movies. But, by the way, ""badger1970"" there are a few parts with bad language, not TOO bad, but it's not exactly G rated. GREAT movie!!!!! I recommend it to everybody. Any way, it's making me type 10 lines of text, so I am going to keep typing until it will let me post this comment. Okay... Still typing... This is getting annoying. Ugh. I still have four more to go. Anyway, WATCH THIS MOVIE! Even if you have already seen it. I DON'T CARE! Has it been 10 lines yet? Nope. Only 2 more lines left. I don't even know why it wants me to do this. I think I am done. Wait a minute, I'm NOT done, SORRY, people. I know it's torture listening to me. WEll, I suppose that you don't HAVE to read this comment... But you should, because I wrote it. I am probably done now. Finally, bye.",positive
"I really loved the Millenium series, starred by Lance Henriksen, which is why I bought the film. Obviously at some level it was a mistake. Mutant/monster films are usually very bad and this film is no exception.<br /><br />The basic idea itself is not totally judged to fail (well nevertheless this film would never have been a success, even with a good director & actors), but the way it turns out this is just a B-class movie. The scenes that are supposed to be scary seem more funny to me and the critter is not credible at all.<br /><br />However, watching this film with group of friends in restless mood makes this film shine as it is so unintentionally hilarious.",negative
"I don't know any idiotic rock'n'roll cliché not used in this movie. Ouffcourz , rock enroll life is only sex drugs and parties and tons of supermodels trying to ride with you. Say it to stupid young boys. The filmmakers seemed to have read too much Guns'n'Roses or Motley Crue stories. I have seen everyday life of usual rock band closely and there are nothing to do with reality in this movie. If you are successful enough your life is touring touring touring. Its means that you are mostly in a bus and trying to sleep. Just sleep. Because you must be fresh, sober and clean in evenings. After live you have a little time to discharge your stage excitement. Then you have a bit time to have fun. But its not any luxury or dream. Artistically this film was zero. Stupid characters and idiotic dialogs. The ending of movie was funny -- main character left heavy metal band and formed a grunge band! Yeah, what a moral. Real 90s.",negative
"I work in a library and expected to like this movie when it came out 5 years ago. Well I liked Parker Posey a lot (she's a wonderful actress) and Omar Townsend was really cute as her boyfriend (he couldn't act but when you look like him who cares?) but the movie was bad. It wasn't funny or cute or much of anything. Posey kept the movie afloat with her energy. But she learned the Dewey Decimal system OVERNIGHT and then shelves tons of books to the beat of music??!!!!??? Come on! Also I did have a problem with the way she looked when she became a full-fledged librarian at the end--hair in a bun, glasses, no sense of humor--can we let that stereotype go please? Worth seeing for Posey and Townsend but that's about it. The TV series was much better.",positive
"I will never forget this film or the events that lead up to Jonestown in Guyana. It just seems so tragic but needs to be told. Powers Boothe give a commanding performance as the leader Rev. Jim Jones from obscurity until total madness. It would have won him an Academy Award easily if it was released in the movie theaters. It is the kind of mini-series you won't forget. You won't forget the images of the cult's brutality, control, and obsessiveness of it's leader. His rise and fall and the threat from the outside world to destroy what he considered to be paradise. The mass suicide is horrifying, almost unreal to anybody's imagination as to why so many people (900+) went willingly or resisted JOnes' orders. They don't make mini series like these anymore where we're left with out mouths open and hungry to know what happened to the others.",positive
"Stephen King movies are a funny thing with me. I either really love them or I loathe them. Some of the fancier productions (such as Desperation and Storm of the Century) I didn't enjoy. Some of the smaller ones, I really loved. Sleepwalkers is one that I really do enjoy and watch it regularly.<br /><br />The story revolves around Charles Brady and his mother Mary. They are Sleepwalkers, shape shifting creatures who although human like in appearance shift into a feline like creature. They are immune to the scratch of cats and whenever they move to a new town, lay out traps to catch and kill the animals. When they move to their latest town, they need to seek out a virgin and when Charles finds one, he actually falls for her,but his mother needs to feed from her to keep up her strength. The story revolves around what will happen with the girl. Will Charles spare her or use her to save his mother.<br /><br />Although this story has overtones of incest which some may find unappealing it does actually play a part in the story and is therefore not just plonked in the movie for scandal's sake. Like most Stephen King stories it's based in a small town with lots of interesting characters. The acting isn't the best, nor are the special effects, however, somehow, the whole thing tends to 'gel' and is very watchable and enjoyable adaption.<br /><br />For UK readers: This production has most recently been shown on BBC1, Sci-Fi and Sky Thriller/Horror channels.",positive
"Maverick director Seijun Suzuki finally was able to film his dream project, ""Princess Raccoon"" and in a way it's lucky he didn't try this in the 1960's. Special effects and computer graphics certain made this sort of production easier to achieve than the old film matte technology would have.<br /><br />Some familiarity with Japanese history and theatrical traditions will help with the enjoyment of this film. Much as familiarity with Shakespeare's ""The Tempest"" would help with Peter Greenaway's dense ""Prospero's Books"". These two films actually have a bit in common although, ""Princess Raccoon"" is much more colorful and easier to watch for someone without the background to fully appreciate it.<br /><br />While the art design, acting and direction are fine for most of the film, it seems to this viewer that the energy runs out in the last third of the film. Most of the interesting sets have been already been introduced and the camera seems to step back for more of a filmed stage play experience.<br /><br />This is certainly a unique film experience and I recommend it to anyone who is interested in alternate forms of film performance. It's not really meant for children although nothing happens that would upset them. If the last third was better I would have given it nine stars.",positive
"This is exactly the type of film that frustrates me the most. Great cast, great director, great story potential, then they ruin it all with a screenplay that goes nowhere...and says nothing while going there! There is no depth here whatsoever. No depth of characters, no depth of plot, no depth of surprise, suspense, or common sense. We know what's happening, we are told how they plan to fix the problem, they fix the problem, throw a surprise at us near the end that fails to generate any suspense, then they end the film abruptly. Wasted opportunity.<br /><br />On the plus side, Glenn Ford leads a cast of UK (and one French) actors who are all fantastic, doing an incredibly impressive job with the one-dimensional writing they were given. One of the absolute favorites is Herbert Walton as ""Old Charlie"", who provides some wonderful bits of humor and warmth to a dark and serious film. I also thought the film had a great look to it...all shadows and fog...very film noir in feel.<br /><br />Even though the actors do the best they can and the directing is enjoyable, it still just isn't enough for me to recommend spending the time to view the film. There are far better Glenn Ford movies out there: The Big Heat, Gilda, Affair in Trinidad, etc.",negative
"A lot of people don't think Branagh's Hamlet film is all that good, but I must admit I think it is splendid. Like virtually every production of Shakespeare, it has problems and it has had to make hard choices, not all of which work out. The thing about the ""secret doors everywhere"", for instance, simply doesn't work. That element never achieves the ominous feeling of metaphor or analogy that it attempts to, which results in the play being too gaudy and losing its trademark sense of a thousand mysteries looming. This is the biggest problem with this production. And while it's a biggie, I'm also inclined to say that it's the only problem. Almost everything else works out absolutely beautifully. All right, so Branagh is a mite too old for the title role. And the relationship with Ophelia seems a little forced. And he gets too hysterical at times. But that's it. No other complaints. Even with these faults, I think this version is a seminal one, and if it's not as powerful a drama as it ought to be, it's every bit the literary work that it equally ought to be. We get the complete text of the longest version of the play, innovatively and expensively brought to the screen, mostly enunciated in perfect and modern and highly understandable voices - even if they sometimes speak too quickly in order to get the massive text over with. But in a staging of Shakespeare, it simply is not possible to speak slowly enough for the audience to really appreciate the full depths of the language. For that, one must delve into the print versions of the plays.<br /><br />All the actors of this version are simply mesmerizing and utterly and instantly classic (incl. Jack Lemmon). Julie Christie as Gertrude is surely one of the best ever, and even the American actors are astounding, esp. Charlton Heston as the Player King - who would have thought it?! (A story is going around that Heston once played Hamlet on stage, and when a critic in the front row couldn't stand his hammy acting and said out loud, ""This is terrible!"", Heston reportedly retorted right from the stage: ""Well, I didn't write this crap!"" Of course it may not be true, but it's a funny story - and if true, a bold and ironic choice for Branagh to include Heston here.) Robin Williams as ""Young Ozric"" is perhaps not young enough for the part, but he makes it a comical one, which is warranted.<br /><br />Overall it is a very well-produced version, with most of the key scenes being, to my mind, supremely memorable. Of course, I watched this movie just as I was becoming interested in Shakespeare (and around the same time as Luhrmann's formidable Romeo+Juliet), and it made a great impression on me, which must account for some of my fondness for it.<br /><br />All things considered, I must pronounce Branagh's Hamlet to be my favorite one, with Derek Jacobi's 1980 BBC version a close second. I probably like Branagh's Shakespeare work more than most, finding him an expert interpreter and popularizer, with an attractively casual attitude to the words and a deep and appropriately and unashamedly enthusiastic appreciation of the text. In the world of Shakespeare acting, the two brightest luminaries remain Olivier and Branagh, and while Olivier is the superior actor, Branagh brings Shakespeare down from the pedestal of snobbery and artifice, and transforms it into churlish, easy-going, populistic worldliness while compromising none of its dignity. Branagh, I believe, brings out a truer Shakespeare than the world has yet seen.<br /><br />And so, 10 out of 10 for an absolutely tremendous Hamlet.",positive
"This is a pale imitation of 'Officer and a Gentleman.' There is NO chemistry between Kutcher and the unknown woman who plays his love interest. The dialog is wooden, the situations hackneyed. It's too long and the climax is anti-climactic(!). I love the USCG, its men and women are fearless and tough. The action scenes are awesome, but this movie doesn't do much for recruiting, I fear. The script is formulaic, but confusing. Kutcher's character is trying to redeem himself for an accident that wasn't his fault? Costner's is raging against the dying of the light, but why? His 'conflict' with his wife is about as deep as a mud puddle. I saw this sneak preview for free and certainly felt I got my money's worth.",negative
"Todd Sheets has created one of the greatest LOW BUDGET Zombie movies EVER. The story is great, the gore is grand, the psychos are wicked! Yet the movie is flawed by its petty dialogue and sluggish imaging at times.<br /><br />Despite this ZB2 delivers what any Zombie movie should, gore, good plot, fast pace adventure into the macarbe. If only MR sheets had been given a 100k budget this movie would out do EVERY zombie movie ever even the almighty Dawn of the dead.<br /><br />But as time goes by he gets better and as he gets better more money comes into his pocket. Thus allowing this man this modern day Genius to craft his vision better.<br /><br />Just remember that Zombie Bloodbath 2 was just one of his great stepping stones when he is atop of Gore Mountain",positive
"I love this movie. <br /><br />Yes, the main character lies, but that's why it's called ""big fat liar"". Even though this kid runs away to Hollywood, it doesn't give kids the idea that they can. Besides, he doesn't just do it for fun or to get away from anything, he does it to regain trust. <br /><br />I don't think it was just one big ad for Universal Studios, because I liked how it gave an inside view of what it's like for kids who don't know how cool movie-making is. <br /><br />It has good music and fun characters. This family/comedy is totally fun for kids and parents alike. It has humour, excitement, and real life difficulties like lying.<br /><br />In the end, ""Big Fat Liar"" sends out a moral: don't expect lying to be easy.",positive
"Two years after this movie was made, ""The Juror"" came out. Don't waste your time on this one. See ""The Juror"" instead. ""The Juror"" is essentially the same story as ""Trial By Jury,"" with better acting, better directing and a far more gripping aura about it. William Hurt was not believable as a cop-gone-bad, and Armand Assante couldn't be more unlike a mob boss if they had dressed him in a clown outfit. You didn't become involved enough with Joann Whalley's character to be that upset by what was happening to her. Also, the way in which she interacted with the jury wasn't compelling or interesting in any way. Kathleen Quinlan's role as a hooker/killer wasn't fleshed out enough and quite frankly was unnecessary for to the plot.",negative
"This has to be one of the worst films I have ever had the misfortune to see. The general idea of a coronal mass ejection hitting the planet earth with EM disruption is fair enough, but where did they get the idea that humans could survive a sustained 155ºF? The acting was so terrible I got the feeling that the casting agents simply grabbed a handful of people off of Santa Monica Boulevard and threw them in front of the camera. In all honesty I have seen less wooden acting from my ironing board. Sorry, but this film was poor, poor, poor.",negative
