student_id,section,hw1,hw2,hw3,hw4,quiz1,quiz2,quiz3,quiz4,quiz5,midterm,final
10027,1,84.65,87.58,90.18,86.45,95.85,85.7,79.91,81.7,97.98,65.38,93.95
10028,1,70.5,83.57,86.11,88.4,91.83,100,97.78,98.07,95.91,83.51,79.37
10029,1,84.08,93.06,93.69,93.43,83.92,80.19,83.33,71.62,100,,74.18
10030,1,84.92,99.54,63.98,93.95,100,100,98.61,90.09,100,73.51,90.19
10031,1,88.05,88.15,70.49,99.56,73.68,95.43,100,47.04,83.28,54.77,
10032,1,73.05,84.79,78.32,86.83,88.0,79.22,88.56,89.52,100,63.37,61.52
10033,1,88.24,86.41,82.53,99.46,97.22,93.53,100,71.48,96.21,83.84,91.08
10034,1,76.77,90.32,79.71,96.16,92.65,65.28,94.46,84.79,89.81,86.8,84.36
10035,1,87.89,87.84,92.66,100,77.0,75.82,100,,97.97,58.84,69.14
10036,1,76.94,99.19,100,100,100,91.01,100,93.91,73.18,81.04,56.25
10037,1,92.82,100,76.05,90.45,85.1,100,74.35,92.02,89.99,89.5,94.62
10038,1,100,98.63,99.19,100,48.8,57.5,72.39,97.09,100,,86.21
10039,1,80.21,92.85,78.45,95.86,85.14,,100,100,95.27,71.0,81.03
10040,1,88.8,96.26,77.79,100,90.37,72.3,100,85.87,88.16,70.56,
10041,1,82.55,92.76,76.19,79.66,80.96,72.11,100,91.17,96.13,77.75,66.82
10042,1,100,84.61,100,93.2,90.04,98.63,91.9,60.75,85.84,58.68,64.25
10043,1,100,89.06,87.2,75.97,95.86,54.95,76.74,85.79,100,75.09,56.63
10044,1,86.5,88.5,,84.99,94.82,72.92,97.38,100,80.71,78.83,79.58
10045,1,85.76,86.4,95.86,89.97,75.52,73.26,74.35,96.25,71.86,73.12,84.83
10046,1,89.32,93.78,76.76,79.22,84.86,62.6,100,,72.07,64.24,85.87
10047,1,96.0,86.66,70.56,89.23,,100,72.77,87.46,78.35,81.53,78.64
10048,1,92.16,75.31,90.91,92.29,84.13,73.83,82.2,,78.13,89.16,97.08
10049,1,93.16,93.12,78.56,85.61,98.86,84.32,81.89,70.63,70.84,86.62,77.77
10050,1,,83.29,96.24,96.56,87.27,84.38,72.75,70.62,96.77,67.73,92.82
10051,1,83.84,97.87,86.16,94.34,100,75.24,97.43,87.39,81.56,95.67,78.83
10052,1,73.8,89.65,92.05,91.32,88.32,70.71,84.28,82.5,86.64,67.18,55.22
10053,1,88.95,,94.01,86.29,74.28,98.84,76.59,89.16,84.58,86.61,71.82
10054,1,100,82.79,100,100,97.17,,91.1,90.44,100,75.21,44.62
10055,1,88.16,97.78,88.1,98.14,100,75.82,94.01,86.45,82.77,98.12,63.67
10056,1,72.38,,54.29,86.9,68.31,89.29,63.39,91.85,100,67.5,80.88
10057,1,100,97.7,80.36,83.73,88.34,79.42,58.22,80.56,83.01,71.37,41.68
10058,1,81.41,99.95,71.37,100,92.58,93.86,71.02,90.47,,71.63,70.89
10059,1,74.04,94.52,90.88,96.98,88.01,47.63,77.73,71.24,86.04,100,100
10060,1,86.51,83.69,79.24,80.44,100,73.89,79.6,75.87,90.02,87.91,81.61
10061,1,67.23,100,82.69,88.5,77.23,84.22,74.06,100,96.7,82.33,78.65
10062,1,81.53,94.52,92.48,92.45,86.54,89.47,82.78,85.5,100,88.77,55.96
10063,1,91.57,66.76,74.65,95.89,93.93,44.51,,88.03,97.34,62.55,74.75
10064,1,99.62,95.72,91.74,100,70.94,88.93,96.94,63.53,100,76.0,74.91
10065,1,97.78,93.86,91.89,85.47,100,84.28,76.5,,65.14,92.01,59.95
10066,1,89.61,97.44,82.01,93.7,78.78,96.96,77.87,90.71,89.18,84.63,80.05
10067,1,67.74,89.88,74.12,88.82,70.16,79.4,100,98.92,47.31,,73.18
10068,1,,86.41,95.45,78.18,54.21,65.74,85.54,69.94,100,58.82,86.2
10069,1,87.97,96.32,87.92,95.64,77.81,100,71.86,62.04,70.6,78.34,80.27
10070,1,80.6,69.4,91.33,96.38,72.72,85.32,100,100,90.98,,86.17
10071,1,100,92.23,73.27,100,88.34,55.16,100,88.22,69.05,74.0,85.59
10072,1,83.59,98.34,100,100,71.05,57.06,75.18,82.47,92.92,66.17,48.67
10073,1,89.42,88.47,86.42,93.43,78.19,100,91.06,88.97,100,76.23,83.01
10074,1,80.47,89.77,,87.68,87.33,73.02,97.89,85.92,54.64,69.4,76.46
10075,1,100,74.79,52.61,87.2,65.92,65.18,89.17,87.02,98.77,,59.06
10076,1,88.33,93.38,44.9,100,89.03,87.93,98.59,72.78,100,88.95,74.37
10077,1,100,91.17,,89.23,100,71.45,82.89,85.13,70.67,69.56,55.98
10078,1,84.92,89.25,,97.72,64.55,87.05,78.22,93.67,93.17,92.9,74.64
10079,1,89.42,67.83,91.92,93.17,63.11,77.1,91.36,72.49,100,70.03,79.08
10080,1,100,100,83.01,88.03,81.74,63.62,67.51,88.95,76.46,75.6,68.91
10081,1,92.97,97.67,96.78,90.34,100,67.94,66.65,100,78.84,33.58,60.47
10082,1,91.14,72.25,87.73,86.51,59.65,66.26,100,84.68,,79.68,46.31
10083,1,82.16,91.47,85.13,99.89,84.15,83.14,100,68.15,88.35,86.37,69.05
10084,1,,78.44,94.09,91.54,,99.39,82.35,93.84,100,74.76,93.88
10085,1,72.07,,80.46,100,61.9,73.57,97.91,84.45,84.65,88.32,99.95
10086,1,,100,90.73,86.12,81.95,76.77,94.86,76.51,72.07,83.35,61.25
10087,1,,85.82,68.4,97.04,71.0,74.82,94.35,85.78,81.68,69.28,76.47
10088,1,95.27,100,98.2,92.73,94.51,91.2,63.47,72.5,63.67,71.89,63.1
10089,1,,84.7,84.32,78.89,100,67.01,100,100,74.86,,
10090,1,92.38,86.66,84.43,93.92,73.14,55.21,77.37,97.24,68.21,64.36,43.34
10091,1,100,86.41,66.66,87.34,61.92,89.83,85.95,100,100,72.01,88.21
10092,1,97.87,86.37,82.59,98.81,100,87.67,87.45,,81.81,89.35,
10093,1,,80.79,76.76,90.95,84.97,87.4,88.92,66.68,68.21,69.93,94.51
10094,1,100,86.02,69.97,78.97,100,72.82,85.38,94.5,94.21,65.23,71.32
10095,1,83.12,100,76.89,98.47,77.98,79.56,100,73.34,95.22,59.91,89.34
10096,1,90.08,83.8,80.41,,100,100,96.41,79.47,70.16,87.55,
10097,1,97.94,94.72,94.89,99.09,72.91,71.31,,76.79,97.32,62.03,76.48
10098,1,93.33,89.75,93.81,80.23,65.03,96.72,76.77,85.16,85.04,82.33,63.16
10099,1,93.35,92.81,97.19,96.91,82.8,85.52,93.94,62.56,94.69,86.72,75.21
10100,1,95.62,78.18,90.52,93.59,86.09,100,100,89.48,64.95,67.27,68.18
10101,2,88.21,88.17,100,90.97,66.2,78.63,84.78,58.85,86.33,85.37,81.97
10102,2,88.62,85.14,68.3,94.23,51.1,91.31,86.09,67.69,,81.84,44.98
10103,2,79.74,94.97,87.4,97.94,52.1,79.43,75.08,87.96,83.92,57.22,76.46
10104,2,,83.66,94.15,,73.52,60.64,65.89,51.35,85.27,76.38,94.18
10105,2,78.47,92.06,68.99,83.13,100,86.0,88.25,81.85,67.01,61.54,70.52
10106,2,92.54,86.3,91.82,91.17,70.48,84.12,95.28,83.71,89.59,74.43,73.12
10107,2,98.38,86.57,87.1,93.11,97.98,65.55,72.08,82.16,59.94,88.23,79.38
10108,2,84.41,89.48,,80.11,80.12,73.49,88.75,,66.87,91.22,57.54
10109,2,93.32,99.15,61.4,86.93,77.98,73.25,100,59.63,67.33,77.26,84.04
10110,2,73.72,93.74,85.89,,90.94,76.05,70.79,80.72,57.47,69.17,56.45
10111,2,84.73,88.95,88.0,81.49,76.47,70.74,81.32,72.1,85.51,80.07,76.26
10112,2,90.02,86.02,99.95,93.34,90.57,77.49,59.97,58.25,,76.58,76.38
10113,2,89.32,,99.21,95.37,78.17,73.41,62.86,71.54,71.45,71.75,65.84
10114,2,,88.39,85.0,84.85,76.16,89.31,100,93.45,91.14,80.44,75.45
10115,2,80.57,82.63,,89.33,93.87,100,100,78.49,95.47,,100
10116,2,99.43,85.95,97.53,93.47,81.43,86.77,45.4,96.02,58.02,86.9,87.91
10117,2,99.56,98.91,76.18,98.67,100,86.72,100,94.73,,92.52,85.16
10118,2,97.3,86.38,99.98,79.93,91.81,88.25,88.45,77.43,79.9,72.62,51.93
10119,2,100,98.93,87.63,93.85,,87.88,,100,,67.51,94.53
10120,2,77.63,79.12,92.76,87.39,100,68.21,72.09,70.88,81.22,,83.94
10121,2,90.73,76.61,90.27,85.22,100,77.87,74.24,79.41,100,64.29,88.08
10122,2,94.39,88.46,71.46,96.82,90.3,72.0,85.6,94.27,60.27,73.38,77.71
10123,2,92.93,74.07,90.56,100,63.27,72.13,72.4,85.08,89.45,51.57,79.0
10124,2,91.52,70.68,100,91.94,84.12,98.92,83.88,72.63,80.76,78.44,94.9
10125,2,83.06,88.7,90.1,85.24,89.88,98.81,85.26,91.53,80.32,99.7,67.78
10126,2,95.18,81.53,,88.65,66.78,78.36,72.22,76.38,75.71,78.62,85.46
10127,2,64.48,94.69,83.76,93.87,59.33,100,81.99,69.4,56.49,92.62,52.72
10128,2,69.82,94.02,78.86,98.86,55.68,98.95,54.52,99.41,87.26,79.37,80.57
10129,2,96.01,94.84,100,91.67,86.35,97.13,85.68,92.81,54.9,38.97,85.36
10130,2,79.12,81.15,93.09,91.15,82.42,73.96,86.12,97.76,,56.55,90.57
10131,2,98.44,83.45,91.18,89.7,100,,67.69,92.75,86.64,84.07,
10132,2,81.38,82.29,78.75,100,86.62,63.92,77.57,92.2,49.04,50.94,75.02
10133,2,99.16,82.91,92.0,87.89,100,70.15,94.91,82.61,99.26,49.88,90.25
10134,2,96.25,100,71.5,90.13,78.41,91.58,94.66,100,60.3,74.32,86.85
10135,2,85.89,93.39,74.83,95.58,84.75,80.09,90.76,60.87,73.77,68.42,68.77
10136,2,94.38,89.98,68.63,95.72,99.21,97.18,81.42,88.83,78.27,91.96,100
10137,2,95.01,78.37,66.35,100,85.46,77.62,84.92,57.61,69.63,80.34,73.29
10138,2,64.79,100,85.9,83.48,96.21,,90.82,64.2,100,47.93,79.26
10139,2,83.83,75.07,96.23,80.71,83.23,98.55,76.49,85.61,94.24,79.83,78.9
10140,2,100,79.34,80.4,87.53,90.89,62.99,87.51,65.6,43.52,60.06,61.86
10141,2,85.35,86.43,63.84,90.2,56.64,76.65,86.3,85.01,70.19,72.99,58.97
10142,2,92.73,95.79,88.26,,88.53,69.51,82.61,100,71.61,72.21,71.0
10143,2,76.1,80.15,100,89.76,77.67,59.32,97.67,51.85,82.37,100,68.51
10144,2,100,90.02,78.92,92.89,69.0,98.46,60.28,80.09,80.11,86.67,74.29
10145,2,88.63,100,93.6,92.63,100,,73.03,80.77,72.05,87.11,79.15
10146,2,96.97,96.08,75.69,96.51,63.1,66.86,63.14,65.55,70.73,74.08,79.26
10147,2,78.05,71.57,77.38,90.27,87.82,76.19,78.19,97.71,75.91,69.0,63.16
10148,2,75.98,94.1,95.93,84.75,93.17,69.17,73.68,53.91,76.62,79.3,76.27
10149,2,89.89,74.14,100,100,75.86,86.0,53.66,80.46,80.23,60.54,62.3
10150,2,98.68,88.46,92.72,94.2,72.2,89.95,65.91,75.37,93.72,91.12,73.89
10151,2,100,100,70.08,97.02,86.58,80.39,99.52,100,66.29,75.55,93.95
10152,2,97.27,85.55,71.29,88.99,69.85,79.33,99.69,77.4,64.18,61.33,86.65
10153,2,66.56,95.94,99.88,92.54,63.12,91.27,94.81,74.42,79.52,86.98,90.26
10154,2,83.28,97.47,83.05,100,62.88,77.36,86.71,75.51,78.22,29.99,96.5
10155,2,100,98.07,95.97,89.99,98.1,75.64,79.62,52.26,69.13,74.94,78.6
10156,2,89.38,,88.98,99.02,100,72.81,,71.3,100,82.73,90.73
10157,2,71.61,93.57,,98.52,100,82.4,75.6,69.16,50.3,90.96,79.6
10158,2,,90.07,100,,94.41,100,83.42,100,72.99,92.56,62.92
10159,2,90.45,91.21,100,98.59,97.0,51.22,88.18,67.49,100,84.31,86.16
10160,2,80.22,93.05,87.5,86.68,74.88,78.23,75.75,,100,90.65,60.75
10161,2,68.66,92.72,95.57,78.42,85.36,96.45,100,78.58,82.02,94.59,72.27
10162,2,71.22,86.34,83.42,87.99,100,89.72,87.95,54.51,100,68.69,
10163,2,78.38,99.22,79.52,88.83,93.18,77.37,72.88,84.09,89.81,53.87,88.48
10164,2,100,99.32,71.94,100,76.58,100,94.08,73.89,62.15,68.49,78.75
10165,2,95.55,86.82,94.38,92.6,99.17,82.37,67.22,100,100,74.96,76.48
10166,2,84.82,89.76,86.5,90.9,99.81,58.8,46.81,100,100,75.58,88.98
10167,2,74.97,83.18,76.17,96.33,92.88,40.91,77.97,88.9,83.52,72.84,
10168,2,93.32,87.95,,89.87,,94.43,70.65,75.53,76.21,67.42,86.62
10169,2,91.51,98.52,79.67,86.81,58.23,,64.9,95.56,71.94,,84.38
10170,2,84.77,84.27,87.04,93.58,75.08,73.4,100,90.26,100,76.48,88.95
10171,2,96.06,87.24,72.97,93.13,80.98,75.99,43.06,78.37,89.63,84.65,89.9
10172,2,87.12,100,94.26,75.19,82.41,84.26,86.48,100,86.12,66.01,92.77
10173,2,99.04,87.27,64.47,86.83,78.64,69.87,46.31,76.97,91.02,97.23,72.28
10174,2,81.83,98.2,65.2,89.77,81.94,62.94,91.43,86.77,62.34,65.11,75.42
10175,2,84.17,100,92.12,98.54,89.72,71.7,80.96,82.21,81.29,73.86,88.43
10176,2,79.09,95.23,69.2,85.63,83.03,89.1,81.59,71.39,66.21,74.54,53.56
10177,2,89.58,88.75,68.88,100,79.45,84.29,,90.53,81.83,80.38,94.3
10178,2,87.47,85.65,82.59,96.53,67.87,64.44,83.46,99.53,,77.03,78.44
10179,2,79.46,79.3,56.89,100,69.15,74.44,100,63.35,71.09,74.55,73.58
10180,2,91.53,87.46,74.03,100,,81.19,74.94,100,57.45,83.48,
10181,2,83.94,95.2,92.6,92.9,62.6,90.38,84.87,92.97,79.92,93.08,70.38
10182,2,87.25,100,100,88.49,93.89,88.81,80.71,81.86,86.52,80.96,80.31
10183,2,100,,72.6,91.77,77.09,84.63,,61.57,86.67,50.36,82.91
10184,2,87.07,87.77,70.33,96.89,67.95,58.51,87.47,92.24,100,88.62,60.39
10185,2,83.02,88.72,,100,100,60.39,57.81,94.2,100,83.44,67.17
10186,2,94.09,84.81,62.23,100,84.37,84.01,91.24,97.76,97.27,73.34,72.27
10187,2,83.13,89.46,100,92.16,,,100,87.34,66.66,70.59,61.86
10188,2,100,91.83,87.05,99.18,,70.59,70.86,99.55,58.58,70.5,80.69
10189,2,94.66,79.48,64.72,90.19,98.15,47.78,61.11,93.32,47.64,99.43,60.05
10190,2,77.91,89.24,92.92,91.53,89.39,74.79,88.36,,64.37,59.61,80.23
10191,2,83.7,86.81,90.58,94.51,78.82,92.9,84.27,75.57,94.6,50.99,70.34
10192,2,72.56,89.79,80.83,100,100,79.51,98.61,57.59,68.27,72.57,65.15
10193,2,97.27,94.98,89.59,82.22,68.65,71.11,53.28,77.47,66.23,59.12,66.79
10194,2,83.61,78.15,56.04,96.77,96.68,70.64,71.19,100,69.58,74.87,83.1
10195,2,100,94.21,96.6,84.1,100,94.32,89.58,92.06,84.81,72.8,78.17
10196,2,78.86,90.75,81.97,100,90.02,74.11,79.35,66.08,71.51,94.4,92.01
10197,2,100,81.97,73.11,90.97,78.7,79.23,68.5,90.8,83.6,84.26,56.53
10198,2,91.11,93.53,81.54,84.66,80.12,68.21,,72.09,78.05,72.09,87.29
10199,2,66.68,88.56,85.11,100,83.85,83.96,87.19,72.38,100,85.14,81.39
10200,2,100,80.83,73.66,93.46,86.78,91.4,100,66.7,86.6,84.16,
